strategy_key,strategy_label,strategy_family,day,threshold,usable_rows,touch_rate_pct
V3_D_V2_CONFIRM,V3-D V2 확인,V3,D+1,+1.3,843,69.63226571767497
V3_D_V2_CONFIRM,V3-D V2 확인,V3,D+2,+1.3,831,64.38026474127557
V3_D_V2_CONFIRM,V3-D V2 확인,V3,D+3,+1.3,831,62.8158844765343
V3_D_V2_CONFIRM,V3-D V2 확인,V3,D+4,+1.3,831,64.38026474127557
V3_D_V2_CONFIRM,V3-D V2 확인,V3,D+5,+1.3,831,63.898916967509024
V3_C_RISK_CONTROL,V3-C 리스크,V3,D+1,+1.3,843,71.53024911032028
V3_C_RISK_CONTROL,V3-C 리스크,V3,D+2,+1.3,831,65.82430806257521
V3_C_RISK_CONTROL,V3-C 리스크,V3,D+3,+1.3,831,66.06498194945848
V3_C_RISK_CONTROL,V3-C 리스크,V3,D+4,+1.3,831,66.30565583634176
V3_C_RISK_CONTROL,V3-C 리스크,V3,D+5,+1.3,831,64.62093862815884
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,D+1,+1.3,843,69.7508896797153
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,D+2,+1.3,831,64.38026474127557
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,D+3,+1.3,831,64.74127557160048
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,D+4,+1.3,831,65.1022864019254
V3_A_CONSENSUS_WEIGHTED,V3-A 합의,V3,D+5,+1.3,831,63.29723225030084
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,D+1,+1.3,843,70.46263345195729
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,D+2,+1.3,831,63.77858002406739
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,D+3,+1.3,831,63.537906137184116
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,D+4,+1.3,831,62.69554753309266
V3_E_EOD_FIRST_STABLE,V3-E EOD 보존,V3,D+5,+1.3,831,60.770156438026476
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,D+1,+1.3,840,72.73809523809524
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,D+2,+1.3,828,64.4927536231884
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,D+3,+1.3,828,62.56038647342995
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,D+4,+1.3,828,61.95652173913043
EOD_ACTIVE_WATCH_LATEST_TOP3,현재 EOD웹훅 Top3,baseline,D+5,+1.3,828,59.05797101449275
EOD_MECHANICAL_TOP1,EOD Top1,baseline,D+1,+1.3,275,64.72727272727272
EOD_MECHANICAL_TOP1,EOD Top1,baseline,D+2,+1.3,275,62.54545454545455
EOD_MECHANICAL_TOP1,EOD Top1,baseline,D+3,+1.3,275,61.09090909090909
EOD_MECHANICAL_TOP1,EOD Top1,baseline,D+4,+1.3,275,62.18181818181818
EOD_MECHANICAL_TOP1,EOD Top1,baseline,D+5,+1.3,275,62.54545454545455
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,D+1,+1.3,275,67.27272727272727
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,D+2,+1.3,275,66.18181818181819
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,D+3,+1.3,275,65.81818181818181
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,D+4,+1.3,275,64.72727272727272
EOD_HUMAN_PROXY_A,EOD 수동프록시,baseline,D+5,+1.3,275,62.54545454545455
EOD_MECHANICAL_TOP3,EOD Top3,baseline,D+1,+1.3,825,72.36363636363636
EOD_MECHANICAL_TOP3,EOD Top3,baseline,D+2,+1.3,825,64.36363636363637
EOD_MECHANICAL_TOP3,EOD Top3,baseline,D+3,+1.3,825,62.42424242424243
EOD_MECHANICAL_TOP3,EOD Top3,baseline,D+4,+1.3,825,61.81818181818181
EOD_MECHANICAL_TOP3,EOD Top3,baseline,D+5,+1.3,825,59.03030303030303
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,D+1,+1.3,759,67.19367588932806
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,D+2,+1.3,759,61.9235836627141
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,D+3,+1.3,759,60.47430830039525
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,D+4,+1.3,759,62.97760210803689
V2_HYBRID_HYBRID_D0_RISK_FILTER,V2 하이브리드,baseline,D+5,+1.3,759,62.450592885375485
DAILY3_POOL_TOP3,Daily3 Top3,baseline,D+1,+1.3,828,70.28985507246377
DAILY3_POOL_TOP3,Daily3 Top3,baseline,D+2,+1.3,828,62.19806763285024
DAILY3_POOL_TOP3,Daily3 Top3,baseline,D+3,+1.3,828,61.71497584541063
DAILY3_POOL_TOP3,Daily3 Top3,baseline,D+4,+1.3,828,61.83574879227053
DAILY3_POOL_TOP3,Daily3 Top3,baseline,D+5,+1.3,828,62.80193236714976
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금,baseline,D+1,+1.3,753,72.77556440903055
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금,baseline,D+2,+1.3,753,63.47941567065073
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금,baseline,D+3,+1.3,753,58.964143426294825
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금,baseline,D+4,+1.3,753,58.16733067729084
P0_COMPARE_P0_TRADING_VALUE_TOP3,P0 거래대금,baseline,D+5,+1.3,753,58.300132802124836
V2_RECORD_V2,V2 기록,baseline,D+1,+1.3,753,76.36122177954847
V2_RECORD_V2,V2 기록,baseline,D+2,+1.3,753,65.86985391766268
V2_RECORD_V2,V2 기록,baseline,D+3,+1.3,753,61.354581673306775
V2_RECORD_V2,V2 기록,baseline,D+4,+1.3,753,59.22974767596282
V2_RECORD_V2,V2 기록,baseline,D+5,+1.3,753,57.63612217795485
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,D+1,+1.3,749,70.36048064085448
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,D+2,+1.3,749,65.95460614152204
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,D+3,+1.3,749,62.21628838451269
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,D+4,+1.3,749,58.87850467289719
BELLGUARD_PRICECAP_TOP3,BellGuard PriceCap,baseline,D+5,+1.3,749,58.47797062750334
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,D+1,+1.3,768,73.4375
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,D+2,+1.3,768,62.239583333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,D+3,+1.3,768,57.161458333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,D+4,+1.3,768,53.645833333333336
BELLGUARD_D0_STRICT_TOP3,BellGuard D0Strict,baseline,D+5,+1.3,768,50.520833333333336
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,D+1,+1.3,755,72.31788079470198
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,D+2,+1.3,755,64.50331125827815
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,D+3,+1.3,755,61.85430463576159
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,D+4,+1.3,755,58.94039735099338
LEGACY_CLASSIC_WEBHOOK_TOP3,Legacy 웹훅,baseline,D+5,+1.3,755,57.74834437086093
