month,candidate_count,green_count,red_count,avg_max_gain,avg_max_loss,avg_d1_close,green_rate,red_rate
2025-04,3,1,1,9.457133333333333,-22.642133333333334,-2.837066666666667,33.33,33.33
2025-05,57,10,9,23.752696491228072,1.2075894736842103,9.221459649122806,17.54,15.79
2025-06,57,13,7,14.199484210526315,-7.7429385964912285,1.2840894736842106,22.81,12.28
2025-07,69,13,11,23.21250579710145,2.560469565217391,12.160707246376813,18.84,15.94
2025-08,60,13,5,21.08263333333333,1.0498116666666661,8.768038333333333,21.67,8.33
2025-09,66,8,9,12.352880303030304,-6.545786363636364,0.2760878787878787,12.12,13.64
2025-10,54,9,7,16.252937037037036,-6.216207407407408,1.4387166666666669,16.67,12.96
2025-11,59,14,4,32.586016949152544,3.8166067796610164,15.999771186440677,23.73,6.78
2025-12,63,10,4,26.891395238095235,-4.031357142857143,8.469677777777777,15.87,6.35
2026-01,63,14,6,23.84146507936508,-6.382522222222223,1.1204539682539683,22.22,9.52
2026-02,51,10,4,75.08687647058824,31.08814705882353,51.39808039215687,19.61,7.84
2026-03,63,15,8,56.45535555555555,15.535312698412698,32.50759047619048,23.81,12.7
2026-04,66,16,10,59.6252196969697,17.117350000000002,29.148993939393943,24.24,15.15
2026-05,18,5,2,19.8801,-9.868038888888888,2.228772222222222,27.78,11.11
